inspection_ym,borough,avg_prcp,avg_snow,avg_snwd,avg_tmin,avg_tmax,avg_temp,covid_yn,boro_code,inspection_month_n,borough_monthly_cases,inspection_month
2015-11,Staten Island,1.0074074074074073,0,0,8.86604938271605,15.460493827160494,12.163271604938272,0,5,11,162,Nov
2015-12,Bronx,5.522356091030789,0,0,7.482797858099063,13.492402945113788,10.487600401606425,0,2,12,2988,Dec
2015-12,Brooklyn,5.527091795288383,0,0,7.201949634443542,13.394963444354184,10.298456539398863,0,1,12,2462,Dec
2015-12,Manhattan,6.359827734711455,0,0,7.436640826873385,13.488130921619293,10.462385874246339,0,1,12,5805,Dec
2015-12,Queens,5.584861407249467,0,0,7.765955934612651,14.236673773987206,11.00131485429993,0,4,12,1407,Dec
2015-12,Staten Island,4.399404761904762,0,0,9.082142857142857,14.508333333333333,11.795238095238094,0,5,12,168,Dec
2015-2,Bronx,0.15621285791464073,0.457590491626148,235.35386277687735,-7.891680172879525,1.6113992436520799,-3.1401404646137223,0,2,2,3702,Feb
2015-2,Brooklyn,0.04326530612244898,0.34285714285714286,245.9387755102041,-8.323877551020407,1.4989795918367346,-3.4124489795918365,0,1,2,490,Feb
2015-2,Manhattan,0.5020102651839179,3.5825491873396067,231.88622754491018,-7.267279726261762,1.3036355859709154,-2.9818220701454234,0,1,2,2338,Feb
2015-2,Queens,0.083852140077821,0.3239299610894942,227.69455252918289,-7.71284046692607,1.546206225680934,-3.083317120622568,0,4,2,1028,Feb
2015-2,Staten Island,0,0,268.13953488372096,-7.102325581395349,1.2488372093023257,-2.9267441860465118,0,5,2,43,Feb
2015-3,Bronx,3.3928908165189515,9.549688855364888,78.29153309447483,0.36579294738827073,8.43349047708844,4.399641712238355,0,2,3,5303,Mar
2015-3,Brooklyn,3.387403400309119,8.2967542503864,85.32457496136013,0.8023183925811437,8.631221020092736,4.71676970633694,0,1,3,1294,Mar
2015-3,Manhattan,3.342857142857143,8.15173203549957,75.64843973661608,0.0955911823647294,8.101431434297165,4.098511308330948,0,1,3,3493,Mar
2015-3,Queens,3.2562266167824694,7.690005344735436,101.62479957242117,0.299946552645644,8.207482629609833,4.253714591127738,0,4,3,1871,Mar
2015-3,Staten Island,2.8727272727272726,10.090909090909092,36.81818181818182,0.06753246753246749,8.76038961038961,4.413961038961039,0,5,3,154,Mar
2015-4,Bronx,2.501157201353035,0,0,7.650952465729037,16.30252803987894,11.976740252803989,0,2,4,5617,Apr
2015-4,Brooklyn,1.2707759489418877,0,0,8.717433658045012,18.010278804165267,13.363856231105139,0,1,4,2977,Apr
2015-4,Manhattan,0.9749555047037884,0,0,7.269997457411645,16.4116196287821,11.840808543096871,0,1,4,3933,Apr
2015-4,Queens,2.9118922085530166,0,0,8.719390743995314,17.60099589923843,13.160193321616873,0,4,4,1707,Apr
2015-4,Staten Island,1.4784860557768924,0,0,7.9593625498007965,16.601195219123507,12.280278884462152,0,5,4,251,Apr
2015-5,Bronx,0.20002535496957405,0,0,14.905223123732252,25.235294117647058,20.070258620689657,0,2,5,3944,May
2015-5,Brooklyn,0.07121836374337846,0,0,14.829075927015891,25.395114773396116,20.112095350206005,0,1,5,3398,May
2015-5,Manhattan,0.07101414528889954,0,0,14.912586909614001,25.440949412610884,20.17676816111244,0,1,5,4171,May
2015-5,Queens,0.048615800135043886,0,0,16.197771775827142,27.15651586765699,21.677143821742064,0,4,5,1481,May
2015-5,Staten Island,0.17857142857142858,0,0,16.652380952380952,26.261309523809523,21.456845238095237,0,5,5,168,May
2015-6,Bronx,2.0343702960361263,0,0,18.49857835758488,26.83025589563472,22.6644171266098,0,2,6,5979,Jun
2015-6,Brooklyn,2.5997155858930605,0,0,17.189931740614334,24.96660978384528,21.078270762229806,0,1,6,1758,Jun
2015-6,Manhattan,2.384179758860066,0,0,17.286664230909754,25.33299232736573,21.30982827913774,0,1,6,2737,Jun
2015-6,Queens,3.1014691478942216,0,0,17.56875612144956,25.44054848188051,21.504652301665033,0,4,6,1021,Jun
2015-6,Staten Island,2.172623574144487,0,0,17.732699619771864,25.874144486692018,21.80342205323194,0,5,6,263,Jun
2015-7,Bronx,3.7189526184538653,0,0,22.25393658710367,29.964873530459567,26.10940505878162,0,2,7,5614,Jul
2015-7,Brooklyn,4.665005417118093,0,0,22.26462621885157,29.879089924160347,26.071858071505957,0,1,7,1846,Jul
2015-7,Manhattan,3.296219281663516,0,0,22.32224322621298,30.101858853182105,26.212051039697542,0,1,7,3174,Jul
2015-7,Queens,4.0364620938628155,0,0,22.100361010830326,29.80938628158845,25.954873646209386,0,4,7,831,Jul
2015-7,Staten Island,4.1608996539792384,0,0,22.053287197231835,29.716262975778548,25.884775086505194,0,5,7,289,Jul
2015-8,Bronx,2.696036704412339,0,0,21.949980476376414,30.402128074970715,26.176054275673565,0,2,8,5122,Aug
2015-8,Brooklyn,2.2691016333938294,0,0,21.869192377495462,30.42540834845735,26.147300362976406,0,1,8,2204,Aug
