result,borough,inspection_month,inspection_year,inspection_daytime,covid_yn,prcp,snow,snwd,tmin,tmax,inspection_result,avg_temp,feeling,prcp_yn,snow_yn,snwd_yn
Rat Activity,Manhattan,Apr,2021,Afternoon,1,0,0,0,5,15.6,1,10.3,Cool,0,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,0,0,0,5,15.6,1,10.3,Cool,0,0,0
Rat Activity,Staten Island,Apr,2021,Morning,1,0,0,0,5,15.6,1,10.3,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Morning,1,0,0,0,5,15.6,0,10.3,Cool,0,0,0
Passed,Manhattan,Apr,2021,Afternoon,1,0,0,0,5,15.6,0,10.3,Cool,0,0,0
Passed,Staten Island,Apr,2021,Morning,1,0,0,0,5,15.6,0,10.3,Cool,0,0,0
Passed,Queens,Apr,2021,Morning,1,0,0,0,5,15.6,0,10.3,Cool,0,0,0
Passed,Manhattan,Apr,2021,Morning,1,0,0,0,5,15.6,0,10.3,Cool,0,0,0
Passed,Bronx,Apr,2021,Afternoon,1,0,0,0,5,15.6,0,10.3,Cool,0,0,0
Rat Activity,Queens,Apr,2021,Morning,1,0,0,0,5,15.6,1,10.3,Cool,0,0,0
Rat Activity,Brooklyn,Apr,2021,Afternoon,1,0,0,0,5,15.6,1,10.3,Cool,0,0,0
Passed,Bronx,Apr,2021,Morning,1,0,0,0,5,15.6,0,10.3,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Afternoon,1,0,0,0,5,15.6,0,10.3,Cool,0,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,0,0,0,5,15.6,1,10.3,Cool,0,0,0
Passed,Staten Island,Apr,2021,Afternoon,1,0,0,0,5,15.6,0,10.3,Cool,0,0,0
Rat Activity,Bronx,Apr,2021,Morning,1,0,0,0,5,15.6,1,10.3,Cool,0,0,0
Passed,Queens,Apr,2021,Afternoon,1,0,0,0,5,15.6,0,10.3,Cool,0,0,0
Passed,Manhattan,Apr,2021,Morning,1,0,0,0,7.8,17.8,0,12.8,Cool,0,0,0
Rat Activity,Bronx,Apr,2021,Morning,1,0,0,0,7.8,17.8,1,12.8,Cool,0,0,0
Passed,Bronx,Apr,2021,Afternoon,1,0,0,0,7.8,17.8,0,12.8,Cool,0,0,0
Rat Activity,Manhattan,Apr,2021,Afternoon,1,0,0,0,7.8,17.8,1,12.8,Cool,0,0,0
Rat Activity,Brooklyn,Apr,2021,Morning,1,0,0,0,7.8,17.8,1,12.8,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Morning,1,0,0,0,7.8,17.8,0,12.8,Cool,0,0,0
Rat Activity,Staten Island,Apr,2021,Morning,1,0,0,0,7.8,17.8,1,12.8,Cool,0,0,0
Passed,Bronx,Apr,2021,Morning,1,0,0,0,7.8,17.8,0,12.8,Cool,0,0,0
Rat Activity,Bronx,Apr,2021,Afternoon,1,0,0,0,7.8,17.8,1,12.8,Cool,0,0,0
Rat Activity,Brooklyn,Apr,2021,Afternoon,1,0,0,0,7.8,17.8,1,12.8,Cool,0,0,0
Rat Activity,Manhattan,Apr,2021,Morning,1,0,0,0,7.8,17.8,1,12.8,Cool,0,0,0
Passed,Brooklyn,Apr,2021,Afternoon,1,0,0,0,7.8,17.8,0,12.8,Cool,0,0,0
Passed,Queens,Apr,2021,Morning,1,0,0,0,7.8,17.8,0,12.8,Cool,0,0,0
Passed,Staten Island,Apr,2021,Afternoon,1,0,0,0,7.8,17.8,0,12.8,Cool,0,0,0
Rat Activity,Queens,Apr,2021,Morning,1,0,0,0,7.8,17.8,1,12.8,Cool,0,0,0
Passed,Staten Island,Apr,2021,Morning,1,0,0,0,7.8,17.8,0,12.8,Cool,0,0,0
Passed,Bronx,Apr,2021,Afternoon,1,1.3,0,0,11.1,29.4,0,20.25,Warm,1,0,0
